,0
0,73.33333333333333
1,90.0
2,83.33333333333334
3,70.0
4,76.66666666666667
5,60.0
6,83.33333333333334
7,83.33333333333334
8,90.0
9,90.0
10,90.0
11,66.66666666666666
12,36.666666666666664
13,66.66666666666666
14,93.33333333333333
15,100.0
16,73.33333333333333
17,86.66666666666667
18,93.33333333333333
19,90.0
20,80.0
21,86.66666666666667
22,86.66666666666667
23,100.0
24,100.0
25,86.66666666666667
26,66.66666666666666
27,100.0
28,83.33333333333334
29,90.0
30,80.0
31,56.666666666666664
32,96.66666666666667
33,86.66666666666667
34,96.66666666666667
35,96.66666666666667
36,100.0
37,60.0
38,63.33333333333333
39,66.66666666666666
40,96.66666666666667
41,76.66666666666667
42,73.33333333333333
43,96.66666666666667
