,0
0,70.0
1,96.66666666666667
2,70.0
3,83.33333333333334
4,76.66666666666667
5,70.0
6,70.0
7,76.66666666666667
8,100.0
9,90.0
10,90.0
11,66.66666666666666
12,36.666666666666664
13,66.66666666666666
14,90.0
15,90.0
16,83.33333333333334
17,96.66666666666667
18,90.0
19,76.66666666666667
20,83.33333333333334
21,86.66666666666667
22,83.33333333333334
23,93.33333333333333
24,100.0
25,86.66666666666667
26,76.66666666666667
27,100.0
28,73.33333333333333
29,96.66666666666667
30,86.66666666666667
31,66.66666666666666
32,80.0
33,96.66666666666667
34,90.0
35,86.66666666666667
36,93.33333333333333
37,60.0
38,63.33333333333333
39,70.0
40,96.66666666666667
41,66.66666666666666
42,60.0
43,96.66666666666667
