,0
0,63.33333333333333
1,80.0
2,56.666666666666664
3,76.66666666666667
4,66.66666666666666
5,66.66666666666666
6,73.33333333333333
7,73.33333333333333
8,83.33333333333334
9,80.0
10,80.0
11,63.33333333333333
12,30.0
13,56.666666666666664
14,76.66666666666667
15,83.33333333333334
16,60.0
17,80.0
18,63.33333333333333
19,50.0
20,83.33333333333334
21,70.0
22,76.66666666666667
23,83.33333333333334
24,90.0
25,70.0
26,56.666666666666664
27,100.0
28,73.33333333333333
29,63.33333333333333
30,70.0
31,50.0
32,76.66666666666667
33,53.333333333333336
34,76.66666666666667
35,83.33333333333334
36,80.0
37,43.333333333333336
38,50.0
39,76.66666666666667
40,80.0
41,50.0
42,60.0
43,93.33333333333333
