,0
0,60.0
1,93.33333333333333
2,50.0
3,80.0
4,63.33333333333333
5,73.33333333333333
6,73.33333333333333
7,66.66666666666666
8,83.33333333333334
9,70.0
10,73.33333333333333
11,53.333333333333336
12,43.333333333333336
13,56.666666666666664
14,73.33333333333333
15,83.33333333333334
16,66.66666666666666
17,60.0
18,73.33333333333333
19,50.0
20,73.33333333333333
21,66.66666666666666
22,66.66666666666666
23,86.66666666666667
24,90.0
25,63.33333333333333
26,60.0
27,93.33333333333333
28,70.0
29,76.66666666666667
30,70.0
31,50.0
32,63.33333333333333
33,73.33333333333333
34,80.0
35,73.33333333333333
36,73.33333333333333
37,30.0
38,53.333333333333336
39,66.66666666666666
40,70.0
41,43.333333333333336
42,63.33333333333333
43,76.66666666666667
