,0
0,90.0
1,93.33333333333333
2,73.33333333333333
3,86.66666666666667
4,70.0
5,63.33333333333333
6,80.0
7,90.0
8,96.66666666666667
9,93.33333333333333
10,93.33333333333333
11,56.666666666666664
12,43.333333333333336
13,56.666666666666664
14,93.33333333333333
15,93.33333333333333
16,73.33333333333333
17,90.0
18,86.66666666666667
19,83.33333333333334
20,83.33333333333334
21,90.0
22,86.66666666666667
23,83.33333333333334
24,90.0
25,76.66666666666667
26,80.0
27,100.0
28,86.66666666666667
29,93.33333333333333
30,83.33333333333334
31,73.33333333333333
32,93.33333333333333
33,80.0
34,93.33333333333333
35,90.0
36,100.0
37,73.33333333333333
38,60.0
39,76.66666666666667
40,100.0
41,50.0
42,66.66666666666666
43,90.0
