,0
0,80.0
1,93.33333333333333
2,66.66666666666666
3,80.0
4,66.66666666666666
5,70.0
6,83.33333333333334
7,80.0
8,96.66666666666667
9,90.0
10,80.0
11,66.66666666666666
12,33.33333333333333
13,66.66666666666666
14,90.0
15,100.0
16,80.0
17,96.66666666666667
18,96.66666666666667
19,83.33333333333334
20,83.33333333333334
21,90.0
22,80.0
23,93.33333333333333
24,96.66666666666667
25,86.66666666666667
26,90.0
27,100.0
28,73.33333333333333
29,90.0
30,80.0
31,60.0
32,80.0
33,96.66666666666667
34,76.66666666666667
35,80.0
36,93.33333333333333
37,66.66666666666666
38,63.33333333333333
39,66.66666666666666
40,93.33333333333333
41,56.666666666666664
42,60.0
43,86.66666666666667
