,0
0,96.66666666666667
1,93.33333333333333
2,76.66666666666667
3,76.66666666666667
4,83.33333333333334
5,83.33333333333334
6,90.0
7,83.33333333333334
8,96.66666666666667
9,93.33333333333333
10,96.66666666666667
11,70.0
12,36.666666666666664
13,76.66666666666667
14,96.66666666666667
15,96.66666666666667
16,83.33333333333334
17,96.66666666666667
18,90.0
19,83.33333333333334
20,90.0
21,86.66666666666667
22,86.66666666666667
23,93.33333333333333
24,100.0
25,93.33333333333333
26,90.0
27,100.0
28,86.66666666666667
29,90.0
30,83.33333333333334
31,66.66666666666666
32,93.33333333333333
33,100.0
34,93.33333333333333
35,90.0
36,100.0
37,66.66666666666666
38,60.0
39,83.33333333333334
40,96.66666666666667
41,93.33333333333333
42,80.0
43,100.0
