,0
0,90.0
1,96.66666666666667
2,60.0
3,80.0
4,83.33333333333334
5,63.33333333333333
6,80.0
7,73.33333333333333
8,93.33333333333333
9,93.33333333333333
10,86.66666666666667
11,53.333333333333336
12,40.0
13,60.0
14,86.66666666666667
15,100.0
16,86.66666666666667
17,90.0
18,80.0
19,80.0
20,76.66666666666667
21,80.0
22,83.33333333333334
23,83.33333333333334
24,96.66666666666667
25,66.66666666666666
26,53.333333333333336
27,100.0
28,53.333333333333336
29,100.0
30,76.66666666666667
31,60.0
32,96.66666666666667
33,90.0
34,90.0
35,90.0
36,96.66666666666667
37,56.666666666666664
38,56.666666666666664
39,73.33333333333333
40,93.33333333333333
41,60.0
42,50.0
43,76.66666666666667
